author_,title_,boue,fleming,grant,jameson,lyell,weaver
jameson,is-the-huttonian-theory,0.003,0.211,0.0,0.457,0.001,0.001
jameson,notice-of-scientific-travellers-in-brazil,0.009,0.763,0.372,1.0,0.25,0.119
lyell,observations-on-the-loamy-deposit-called-loess-of-[...],0.0,0.086,0.0,0.006,0.864,0.0
lyell,observations-on-the-white-limestone-and-other-eoce[...],0.0,0.098,0.0,0.178,1.0,0.0
lyell,on-a-dike-of-serpentine-cutting-through-sandstone-[...],0.0,0.755,0.0,0.0,0.162,0.103
lyell,on-a-recent-formation-of-freshwater-limestone-in-f[...],0.001,0.252,0.0,0.521,0.403,0.051
lyell,on-a-recent-formation-of-freshwater-limestone-in-f[...],0.02,0.5,0.0,0.563,0.21,0.168
lyell,on-the-age-of-the-newest-lava-current-of-auvergne-[...],0.02,0.114,0.0,0.003,0.918,0.016
lyell,on-the-freshwater-strata-of-hordwell-cliff-beacon-[...],0.0,0.055,0.0,0.264,0.911,0.003
lyell,on-the-occurrence-of-two-species-of-shells-of-the-[...],0.0,0.056,0.0,0.02,0.49,0.118
lyell,on-the-relative-ages-of-the-tertiary-deposits,0.0,0.022,0.0,0.075,0.904,0.004
lyell,on-the-strata-of-the-plastic-clay-formation-exhibi[...],0.0,0.233,0.0,0.0,0.243,0.0
lyell,on-the-structure-and-probable-age-of-the-coal-fiel[...],0.0,0.121,0.0,0.0,0.334,0.8
lyell,on-the-structure-and-probable-age-of-the-coal-fiel[...],0.0,0.019,0.0,0.005,0.188,0.178
lyell,on-the-newer-deposits-of-the-southern-states-of-no[...],0.015,0.015,0.0,0.11,1.0,0.046
lyell,on-the-tubular-cavities-filled-with-gravel-and-san[...],0.0,0.472,0.0,0.001,0.57,0.0
lyell,the-bake-man-lecture,0.0,0.404,0.0,0.007,0.205,0.006
lyell,the-bake-man-lecture,0.001,0.127,0.0,0.004,0.372,0.005
lyell,the-bake-man-lecture,0.0,0.442,0.0,0.0,0.263,0.003
lyell,the-bake-man-lecture,0.0,0.206,0.0,0.0,0.191,0.048
weaver,additional-remarks-on-the-rothe-todte-liegende-and[...],0.014,0.003,0.0,0.35,0.176,0.992
weaver,additional-remarks-on-the-rothe-todte-liegende-and[...],0.012,0.01,0.0,0.437,0.101,0.989
weaver,on-the-geological-relations-of-the-south-of-irelan[...],0.0,0.201,0.0,0.006,0.155,1.0
weaver,on-the-geological-relations-of-the-south-of-irelan[...],0.001,0.43,0.0,0.001,0.199,0.494
weaver,on-the-geological-relations-of-the-south-of-irelan[...],0.0,0.091,0.0,0.0,0.08,0.856
weaver,on-the-geological-relations-of-the-south-of-irelan[...],0.0,0.286,0.0,0.001,0.089,0.685
weaver,on-the-geological-relations-of-the-south-of-irelan[...],0.0,0.113,0.0,0.0,0.247,0.947
weaver,on-the-geological-relations-of-the-south-of-irelan[...],0.0,0.104,0.0,0.0,0.625,0.423
weaver,on-the-geological-relations-of-the-south-of-irelan[...],0.0,0.044,0.0,0.0,0.642,0.383
weaver,on-the-gold-workings-formerly-conducted-in-the-cou[...],0.0,0.029,0.0,0.001,0.103,0.989
weaver,on-the-older-stratified-rocks-of-north-devon,0.005,0.002,0.0,0.01,0.002,1.0
weaver,on-the-physical-structure-of-devonshire,0.003,0.0,0.0,0.032,0.006,0.729
weaver,on-the-fossil-elk-of-ireland,0.0,0.249,0.0,0.259,0.823,0.006
weaver,on-the-minderal-structure-of-the-south-of-ireland,0.0,0.025,0.0,0.0,0.153,1.0
weaver,on-the-minderal-structure-of-the-south-of-ireland,0.0,0.004,0.0,0.0,0.061,1.0
weaver,on-the-minderal-structure-of-the-south-of-ireland,0.01,0.0,0.0,0.079,0.008,1.0
